country,player,position,club,age,jersey_number,squad_status,announcement_date,group,confederation,is_final_squad
México,"( 1996-01-31 ) January 31, 1996 (Aged 30)",Defensa,Unknown,26,2,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-02-07 ) February 7, 1996 (Aged 30)",Defensa,Unknown,26,15,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-02-11 ) February 11, 1996 (Aged 30)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-02-14 ) February 14, 1996 (Aged 30)",Defensa,Unknown,26,21,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-02-15 ) February 15, 1996 (Aged 30)",Defensa,Unknown,26,14,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-03-08 ) March 8, 1996 (Aged 30)",Defensa,Unknown,26,29,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-03-30 ) March 30, 1996 (Aged 30)",Defensa,Unknown,26,64,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-04-07 ) April 7, 1996 (Aged 30)",Defensa,Unknown,26,16,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-04-24 ) April 24, 1996 (Aged 30)",Defensa,Unknown,26,19,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-05-10 ) May 10, 1996 (Aged 30)",Defensa,Unknown,26,16,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-05-23 ) May 23, 1996 (Aged 30)",Defensa,Unknown,26,59,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-05-26 ) May 26, 1996 (Aged 30)",Defensa,Unknown,26,44,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-06-28 ) June 28, 1996 (Aged 29)",Defensa,Unknown,26,51,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-07-07 ) July 7, 1996 (Aged 29)",Defensa,Unknown,26,47,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-07-20 ) July 20, 1996 (Aged 29)",Defensa,Unknown,26,1,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-09-17 ) September 17, 1996 (Aged 29)",Defensa,Unknown,26,38,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-09-25 ) September 25, 1996 (Aged 29)",Defensa,Unknown,26,22,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-09-30 ) September 30, 1996 (Aged 29)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-10-10 ) October 10, 1996 (Aged 29)",Defensa,Unknown,26,15,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-10-12 ) October 12, 1996 (Aged 29)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-11-12 ) November 12, 1996 (Aged 29)",Defensa,Unknown,26,49,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-11-15 ) November 15, 1996 (Aged 29)",Defensa,Unknown,26,77,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-11-16 ) November 16, 1996 (Aged 29)",Defensa,Unknown,26,31,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-11-17 ) November 17, 1996 (Aged 29)",Defensa,Unknown,26,18,Final,2026-05-26,A,CONCACAF,1
México,"( 1996-12-26 ) December 26, 1996 (Aged 29)",Defensa,Unknown,26,35,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-01-01 ) January 1, 1997 (Aged 29)",Defensa,Unknown,26,38,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-01-09 ) January 9, 1997 (Aged 29)",Defensa,Unknown,26,2,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-01-15 ) January 15, 1997 (Aged 29)",Defensa,Unknown,26,40,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-01-23 ) January 23, 1997 (Aged 29)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-01-26 ) January 26, 1997 (Aged 29)",Defensa,Unknown,26,20,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-01-27 ) January 27, 1997 (Aged 29)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-02-01 ) February 1, 1997 (Aged 29)",Defensa,Unknown,26,19,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-02-05 ) February 5, 1997 (Aged 29)",Defensa,Unknown,26,16,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-02-17 ) February 17, 1997 (Aged 29)",Defensa,Unknown,26,59,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-02-24 ) February 24, 1997 (Aged 29)",Defensa,Unknown,26,65,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-03-14 ) March 14, 1997 (Aged 29)",Defensa,Fc Cincinnati,26,12,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-03-18 ) March 18, 1997 (Aged 29)",Defensa,Unknown,26,6,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-04-19 ) April 19, 1997 (Aged 29)",Defensa,Unknown,26,40,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-05-05 ) May 5, 1997 (Aged 29)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-05-10 ) May 10, 1997 (Aged 29)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-05-14 ) May 14, 1997 (Aged 29)",Defensa,Unknown,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-06-05 ) June 5, 1997 (Aged 29)",Defensa,Unknown,26,55,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-06-07 ) June 7, 1997 (Aged 29)",Defensa,Unknown,26,19,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-06-22 ) June 22, 1997 (Aged 28)",Defensa,Racing,26,1,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-07-12 ) July 12, 1997 (Aged 28)",Defensa,Unknown,26,15,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-08-08 ) August 8, 1997 (Aged 28)",Defensa,Unknown,26,5,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-08-28 ) August 28, 1997 (Aged 28)",Defensa,Unknown,26,2,Final,2026-05-26,A,CONCACAF,1
